exercise_id,exercise_name,description,type,difficulty,equipment
37,Dumbbell front raise,"Dumbbell exercise for the front delts. Grab dumbbells with with elbows straight, held in front of upper legs. Raise them forward and upward until your upper arms are no longer parallel with the floor. After, lower down. You can slightly bend your elbows if straight elbows feels uncomfortable.",Isolated,Easy,Dumbbell
38,Dumbbell shoulder press,"Dumbbell exercise for the front delts. Grab two dumbbells and hold them to each side of your shoulders, with your elbows sitting below your wrists. Press both dumbbells upwards until your arms are extended over your head. Lower them back to the sides of your shoulders and repeat.",Compound,Medium,Dumbbell
41,Lever Isolateral Shoulder Press,"Machine variation of the shoulder press. Sit down and grab the lever handles on each side with an overhand grip. Press the lever upwards until your arms are extended over your head, then lower back down. Do not grip too wide, as it will shorten your range of motion.",Compound,Medium,Machine
43,Smith Shoulder Press,"Variation of the military press that does not require as much stability. Sit on a bench with the bar in front of your shoulders and grab it with a wide overhand grip. Rotate the bar back to unrack it. Press it up until your arms are extended over your head, then lower back to the front of your shoulders. Do not grip too wide, as it will shorten your range of motion.",Compound,Medium,Smith machine
44,Pike Press (between benches),"Advanced bodyweight exercise for the front delts. Kneel on two benches placed side by side with a small gap at the end nearest your head. Put your hands on the ends of the benches and your forefeet on the opposite ends, then raise your hips high with your arms, back and knees straight. Walk your feet closer to your hands so your body is more upright. Lower your head between the benches by bending your arms, then push back up. For more difficulty, elevate your feet.",Compound,Hard,Body weight
45,Suspended Front Raise,"Suspension trainer exercise for the front delts. Grab the handles and step back until your arms are straight out in front of you. Keeping your arms straight and your shoulders back, step forward so you are leaning back and hanging from the handles with your palms facing down. Raise your arms up and over your head, then return to the starting position. Moving your feet further forward makes this harder.",Isolated,Medium,Suspension trainer
46,Barbell Upright Row,"Compound exercise for the side delts and traps. Grab a barbell with an overhand grip that is shoulder width or slightly narrower. Pull the bar up towards your neck, leading with your elbows. Let your wrists bend as the bar comes up. Lower back down and repeat. Avoid going too narrow, as it can irritate the rotator cuff.",Compound,Easy,Barbell
47,Cable One Arm Lateral Raise,"Cable exercise isolating one side delt at a time. Stand side on to a low pulley and grab the handle with the arm furthest away. Hold onto something for balance if you can. With your elbow slightly bent, raise your arm out to the side until your elbow is at shoulder height. Lower and repeat, then switch arms. Keep the same slight bend in your elbow the whole time.",Isolated,Easy,Cable
49,Dumbbell Lateral Raise,"Classic side delt exercise. Grab two dumbbells and hold them in front of your thighs with your elbows slightly bent. Lean forward a little with a slight bend in your hips and knees. Raise your upper arms out to the sides until your elbows reach shoulder height, keeping your elbows higher than your wrists. Lower and repeat. If your elbows drop below your wrists the front delts take over instead.",Isolated,Easy,Dumbbell
52,Smith Upright Row,"Smith machine variant of the upright row. Stand behind the bar at mid thigh height and grab it with an overhand grip that is shoulder width or slightly narrower. Rotate the bar back to unrack it and stand upright. Pull the bar towards your neck, leading with your elbows, then lower back down. Avoid going too narrow, as it can irritate the rotator cuff.",Compound,Medium,Smith machine
53,Barbell Rear Delt Row,"Barbell exercise for the rear delts. Bend your knees slightly and bend over the bar with your back straight and roughly horizontal. Grab the bar with a wide overhand grip. Keeping your upper arms at a right angle to your torso, pull the bar up towards your upper chest until your upper arms go just past horizontal. Lower and repeat. Staying bent over is important, as being too upright brings the lats in instead.",Compound,Hard,Barbell
54,Cable Rear Delt Row,"Cable exercise for the rear delts. Sit slightly forward so you can reach the cable bar. Straighten your torso and slide your hips back so your knees are only slightly bent. Pull the bar towards your upper chest with your elbows out to the sides, until they travel slightly behind your back. Return until your arms are extended and your shoulders are stretched forward. Keep your elbows at the same height as your shoulders, otherwise the lats take over.",Compound,Medium,Cable
55,Dumbbell Rear Delt Row,"Single arm dumbbell exercise for the rear delts. Kneel over the side of a bench with one arm and leg supporting you. Grab a dumbbell and pull it up and out to the side, keeping your upper arm at a right angle to your torso, until it goes just past horizontal. Lower and repeat, then switch sides. Keep your torso bent over roughly horizontal.",Compound,Easy,Dumbbell
57,Lever Isolateral Seated Reverse Fly,"Machine exercise isolating the rear delts. Sit with your chest against the pad and grab the handles with your thumbs up at shoulder height. Bend your elbows slightly and turn your shoulders in so your elbows are also at shoulder height. Keeping your elbows pointed high, pull the handles apart and back until your elbows are just behind your back. Return and repeat. If your elbows drop below your shoulders the side delts and lats take over.",Isolated,Easy,Machine
59,Rear Delt Inverted Row (high bar),"Bodyweight exercise for the rear delts. Stand facing a bar set at upper chest height and step towards it until your chest touches. Grab it with a wide overhand grip and raise your elbows to shoulder height. Walk your feet forward so you are leaning back with your legs, hips and spine straight. Lower yourself until your arms are extended, then pull your shoulders to the bar while keeping your elbows high. Adjust the bar height to change the difficulty.",Compound,Hard,Body weight
61,Suspended Rear Delt Row,"Suspension trainer exercise for the rear delts. Grab the handles and step forward so you are leaning back and hanging with your arms straight. Turn your shoulders in so your elbows point directly out to each side. Pull yourself up while keeping your elbows pointed out and your body straight, until your elbows are directly out to your sides. Return until your arms are extended and your shoulders stretched forward. Do not let your elbows drop, as the lats take over if you do.",Compound,Medium,Suspension trainer
62,Cable Front Lateral Raise,"Cable exercise hitting the front and side delts together. Stand side on to a low pulley and grab the handle with the arm furthest away. Turn your shoulder in so your elbow points out to the side. With your elbow straight or slightly bent, raise your arm out to the side and slightly forward until it reaches shoulder height. Lower and repeat, then switch arms.",Isolated,Easy,Cable
63,Dumbbell Front Lateral Raise,"Dumbbell exercise hitting the front and side delts together. Grab a dumbbell and hold it in front of your thigh with a straight arm. Turn your little finger outward. Raise your arm out to the side and slightly forward until it reaches shoulder height or just above. Lower and repeat, then switch arms. Think of raising towards 10 o'clock with your left arm and 2 o'clock with your right.",Isolated,Easy,Dumbbell
64,Barbell Wrist Curl,"Forearm exercise using a barbell. Sit down and grab the bar with an underhand grip that is narrow to shoulder width. Rest your forearms on your thighs with your wrists just past your knees. Let the bar roll out of your palms down to your fingers, then curl it back up by gripping and pointing your knuckles as high as you can. Lower and repeat. Keep your elbows at roughly wrist height to keep the tension on.",Isolated,Medium,Barbell
66,Dumbbell Wrist Curl,"Single arm forearm exercise using a dumbbell. Sit down and grab a dumbbell with an underhand grip. Rest your forearm on your thigh with your wrist just past your knee. Let the dumbbell roll out of your palm down to your fingers, then curl it back up by gripping and pointing your knuckles as high as you can. Lower and repeat, then switch arms.",Isolated,Easy,Dumbbell
68,Barbell Reverse Wrist Curl,"Forearm exercise working the opposite side to the wrist curl. Sit down and grab the bar with an overhand grip that is narrow to shoulder width. Rest your forearms on your thighs with your wrists just past your knees. Raise the bar by pointing your knuckles up as high as you can, then lower until your knuckles point down as far as they will go. Keep your elbows at roughly wrist height.",Isolated,Medium,Barbell
70,Dumbbell Reverse Wrist Curl,"Single arm reverse wrist curl using a dumbbell. Sit down and grab a dumbbell with an overhand grip. Rest your forearm on your thigh with your wrist just past your knee. Raise the dumbbell by pointing your knuckles up as high as you can, then lower until your knuckles point down as far as they will go. Switch arms once done. You can put your free hand under your wrist for stability.",Isolated,Easy,Dumbbell
73,Barbell Bench Press,"The classic chest exercise. Lie back on a bench and grab the bar with an overhand grip slightly wider than shoulder width. Arch your back, push your hips down and plant your feet flat on the floor. Unrack the bar over your chest, then lower it to your lower chest. Press it back up until your arms are extended. Do not grip too wide, as it will shorten your range of motion. Can be done on an incline to hit the upper chest.",Compound,Hard,Barbell
75,Dumbbell Bench Press,"Dumbbell variation of the bench press allowing a longer range of motion. Sit on a bench with the dumbbells resting on your lower thighs, then kick them up to your shoulders as you lie back. Position them to the sides of your chest with a bent arm under each. Press them up with your elbows tucked until your arms are extended. Lower until you feel a slight stretch in your chest. Can be done on an incline to hit the upper chest.",Compound,Medium,Dumbbell
76,Dumbbell Fly,"Isolation exercise for the chest. Grab two dumbbells and lie back on a bench. Hold them above your chest with your arms fixed in a slightly bent position. Turn your shoulders in so your elbows point out to the sides. Lower the dumbbells out to the sides until you feel a stretch in your chest, then bring them back together in a wide hugging motion. Keep that slight bend in your elbows the whole time.",Isolated,Easy,Dumbbell
77,Dumbbell Pullover,"Chest and lat exercise using one dumbbell. Lie across a bench so your upper back is on it and your body is at a right angle to it. Grab a dumbbell with both hands under the inner plate and hold it over your chest with your elbows slightly bent. Lower it back over and beyond your head until your upper arms are in line with your torso, then pull it back up over your chest. How far you can go depends on your shoulder flexibility.",Isolated,Hard,Dumbbell
78,Chest Dip,"Bodyweight chest exercise. Get on a wide dip bar with the bar sitting diagonally under your palms, arms straight and shoulders above your hands. Bend your knees and hips slightly. Lower yourself by bending your arms and letting your elbows flare out to the sides. When you feel a slight stretch in your chest, push back up until your arms are straight. Use a band or a machine to make it easier, or add weight to make it harder.",Compound,Hard,Body weight
79,Push-up,"The classic bodyweight chest exercise. Lie face down with your forefeet on the floor and your hands slightly wider than shoulder width. Push yourself up until your arms are extended, keeping your body straight. Lower back down by bending your arms, then push up again. Your whole body must stay straight throughout. To make it easier, do them on your knees or with your hands on a raised surface.",Compound,Medium,Body weight
81,Lever Isolateral Chest Press,"Machine variation of the chest press. Sit with your chest at roughly the height of the handles. Grab them with a wide overhand grip and your elbows out to the sides just below your shoulders. Press the levers until your arms are extended, then return until you feel a slight stretch in your chest.",Compound,Easy,Machine
82,Lever Isolateral Seated Fly,"Machine isolation exercise for the chest. Sit with your back against the pad and grab the handles at shoulder height. Bend your elbows slightly and turn your shoulders in so your elbows point backwards. Bring the handles forward and together, then return until you feel a mild stretch in your chest. On many machines the starting position can be adjusted, letting the same frame work both chest and rear delts.",Isolated,Easy,Machine
83,Smith Bench Press,"Smith machine variation of the bench press. Lie back on a bench with the bar over your chest and grab it with a wide overhand grip. Rotate the bar back to unrack it. Lower the weight to your chest, then press it back up until your arms are extended. Do not grip too wide, as it will shorten your range of motion. Can be done on an incline to hit the upper chest.",Compound,Medium,Smith machine
84,Barbell Bent-over Row,"The classic back builder. Bend your knees slightly and bend over the bar with your back straight. Grab it with a wide overhand grip. Pull the bar to your upper waist, then lower until your arms are extended and your shoulders are stretched down. Keep your lower back straight, and bend your knees more if tight hamstrings start rounding it. A narrower or underhand grip brings the lats in more.",Compound,Hard,Barbell
85,Cable Seated Row,"Cable exercise for the back. Sit slightly forward so you can reach the attachment, and put your feet on the platform. Slide your hips back so your knees are slightly bent. Pull the attachment to your waist while straightening your lower back, pulling your shoulders back and pushing your chest forward. Return until your arms are extended and your shoulders stretched forward. Start light and build up, as your lower back needs time to adapt.",Compound,Medium,Cable
87,Dumbbell Bent-over Row,"Single arm dumbbell exercise for the back. Kneel over the side of a bench, putting the knee and hand of your supporting arm on it. Grab a dumbbell from the floor and pull it up to your side until it touches your ribs or your upper arm goes just past horizontal. Lower until your arm is extended and your shoulder stretched down, then switch arms. Keep your torso close to horizontal and do not twist to throw the weight up.",Compound,Medium,Dumbbell
88,Dumbbell Lying Row,"Dumbbell back exercise done lying down. Lie chest down on a raised bench and grab two dumbbells below you. Pull them up to your sides, arching your upper back and pulling your shoulder blades together, until your upper arms go just past the height of your back. Lower until your arms are extended and your shoulders stretched down. The bench needs to be high enough that the dumbbells do not hit the floor.",Compound,Hard,Dumbbell
89,Lever Wide Grip Incline Row,"Machine row done lying face down. Lie on the inclined platform and put your feet on the foot rest. Grab the angled handles and lift the lever out of its rack, holding it directly under you with your arms extended down. Pull the lever up, arching your upper back and squeezing your shoulders back as it comes in. Lower until your arms are extended and your shoulders pulled down.",Compound,Medium,Machine
92,Smith Bent-over Row,"Smith machine variation of the bent-over row. Bend your knees slightly and bend over the bar with your back straight. Grab it with a wide overhand grip and rotate the bar back to unrack it. Pull the bar to your upper waist, then lower until your arms are extended and your shoulders stretched down. Keep your lower back straight throughout.",Compound,Medium,Smith machine
93,Inverted Row,"Bodyweight back exercise. Lie on your back under a fixed horizontal bar and grab it with a wide overhand grip. Keeping your body straight, pull yourself up to the bar, pulling your shoulders back at the top with your chest high. Lower until your arms are extended and your shoulders stretched forward. The bar should be just high enough for your arms to fully extend. Use a higher bar and move your feet back to make it easier.",Compound,Hard,Body weight
94,Suspended Inverted Row,"Suspension trainer variation of the inverted row. Set the handles higher than arm's length from the floor. Sit down, grab them, and hang with your arms straight, your shoulders under the handles, your body straight and your heels on the floor. Pull yourself up until the handles reach the sides of your chest, keeping your body straight and pulling your shoulders back. Lower until your arms are extended. Raise the handles to make it easier.",Compound,Hard,Suspension trainer
97,Cable Pulldown,"Cable exercise for the lats. Grab the bar with a wide grip and sit with your thighs under the supports. Pull the bar down to your upper chest, then return until your arms and shoulders are fully extended. Do not grip too wide, as it will shorten your range of motion.",Compound,Medium,Cable
98,Cable Close Grip Pulldown,"Narrow grip variation of the pulldown. Grab a parallel grip attachment and sit with your thighs under the supports. Pull it down to your upper chest, then return until your arms and shoulders are fully extended. A V-bar works well for this.",Compound,Medium,Cable
100,Pull-up,"The classic bodyweight back exercise. Grab a bar with a wide overhand grip. Pull yourself up until your chin is above the bar, then lower until your arms and shoulders are fully extended. Do not grip too wide, as it will shorten your range of motion. Use a band, a machine or a partner for assistance if you cannot do them yet.",Compound,Hard,Body weight
101,Chin-up,"Underhand variation of the pull-up that brings in the biceps. Grab a bar with a shoulder width underhand grip. Pull yourself up until your elbows are tucked to your sides, then lower until your arms and shoulders are fully extended. Use a band, a machine or a partner for assistance if you cannot do them yet.",Compound,Hard,Body weight
102,Suspended Pull-up,"Suspension trainer variation of the pull-up. Grab the handles set high above you. Pull yourself up until your neck reaches the height of your hands, then lower until your arms and shoulders are fully extended. Put your feet on a bench or the floor to make it easier, or wear a dip belt to make it harder.",Compound,Hard,Suspension trainer
104,Dumbbell Shrug,"Dumbbell exercise for the traps. Stand holding two dumbbells at your sides and raise your shoulders as high as you can, then lower and repeat. Stand upright or lean over very slightly. Since it gets harder the higher you go, raising until the slope of your shoulders is roughly flat is usually enough.",Isolated,Easy,Dumbbell
105,Lever Shrug,"Machine variation of the shrug. Stand between the handles, squat down with your feet flat and grab the upper handles at your sides. Stand up by extending your hips and knees, then raise your shoulders as high as you can. Lower and repeat. Raising until the slope of your shoulders is roughly flat is usually enough.",Isolated,Easy,Machine
107,Cable Standing Shoulder External Rotation,"Rotator cuff exercise using a cable. Stand side on to a pulley set at elbow height and grab the handle with the arm furthest away. Tuck your elbow against your side with your forearm across your belly. Pull the handle away from your body as far as you can by rotating your shoulder outward. Return and repeat, then turn around and switch arms. Keep your elbow pinned to your side at a right angle throughout.",Isolated,Easy,Cable
108,Cable Standing Shoulder Internal Rotation,"Rotator cuff exercise working the opposite direction to external rotation. Stand side on to a pulley set at elbow height and grab the handle with the nearest arm. Tuck your elbow against your side with your elbow bent at a right angle. Pull the handle towards your body by rotating your shoulder inward until your forearm is across your belly. Return and repeat, then switch arms.",Isolated,Easy,Cable
109,Crunch,"The classic abs exercise. Lie on your back on a mat with your lower legs resting on a bench and your hands behind your head. Bend at the waist to raise your upper torso off the mat, keeping your lower back down, and go as high as you can. Return until your shoulders touch the mat. Moving your arms further down your body makes it easier, and holding a weight makes it harder.",Isolated,Hard,Body weight
111,Hanging Leg-Hip Raise,"Abs exercise done hanging from a bar. Grab a high bar with a shoulder width grip and hang. Raise your legs by bending your hips and knees until your hips are fully bent, then keep going by pulling your knees towards your shoulders. Return until your waist, hips and knees are extended back down. The bend at the waist is the part that actually works the abs, so do not stop at hip height.",Compound,Hard,Body weight
112,Front Plank,"Isometric core exercise. Lie face down on a mat and put your forearms on it with your elbows under your shoulders. Put your legs together with your forefeet on the floor, then raise your body up so it is in one straight line and hold. Raising your upper body onto a bench makes it easier, and doing it on your knees is easier again. Add weight on your back to make it harder.",Isolated,Hard,Body weight
113,Sit-up,"Bodyweight Abs exercise working a longer range than the crunch. Hook your feet under a brace and lie on your back with your hips bent. Put your hands behind your neck. Raise your torso by bending at the waist and hips, then return until your shoulders touch back down. Coming all the way down matters, otherwise your abs are only holding rather than working.",Compound,Hard,Body weight
114,Abdominal Vacuum,"Isometric exercise for the deep abdominal muscles. Sit, kneel, lie or stand. Pull your navel in towards your spine and hold.",Isolated,Easy,Body weight
115,Cable Side Bend,"Cable exercise for the obliques. Stand side on to a low pulley and grab the handle with the nearest arm, keeping your arm straight. Bend sideways at the waist so your torso moves away from the pulley, then lean back towards it to lower. Repeat, then switch sides.",Isolated,Easy,Cable
116,Dumbbell Side Bend,"Dumbbell exercise for the obliques. Hold a dumbbell at your side with a straight arm. Bend at the waist towards the opposite side until you feel a slight stretch, then bend the other way the same distance. Repeat, then switch sides.",Isolated,Easy,Dumbbell
117,Hanging Twisting Leg Hip Raise,"Oblique variation of the hanging leg raise. Hang from a high bar with an overhand grip that is shoulder width or slightly wider. Raise your legs to one side by bending your hips and knees, then keep going by bending at the waist towards that side. Return, then raise to the other side, alternating between them. The obliques work mostly to hold position here, so the bend at the waist is what makes them work properly.",Compound,Hard,Body weight
118,Barbell Bent Knee Good-morning,"Hamstring and lower back exercise. Put a barbell on the back of your shoulders and grab it at your sides. Bend at the hips to lower your torso forward until it is roughly parallel to the floor, bending your knees slightly on the way down. Raise back up until your hips are extended. Start very light and build up slowly. Keep your back straight throughout, and bend your knees more if your hamstrings are tight.",Compound,Hard,Barbell
119,Barbell Deadlift,"The classic full body pulling exercise. Stand with your feet flat under the bar, squat down and grab it with an overhand or mixed grip that is shoulder width or slightly wider. Lift by extending your hips and knees together until you are standing upright, pulling your shoulders back at the top if they have rounded. Keep your hips low, your shoulders high, and your arms and back straight. Keep the bar close to your body, and let it settle on the floor between reps rather than bouncing it.",Compound,Hard,Barbell
120,45° Hyperextension,"Bodyweight exercise for the lower back. Lie face down with your thighs on the padding and your heels hooked under the brace. Clasp your hands behind your hips. Raise your upper body until your hips and waist are extended, then lower until you feel a mild stretch or your torso is roughly at a right angle to your legs. Moving your arms lower down your body makes it easier, and holding a plate to your chest makes it harder.",Compound,Medium,Body weight
121,Barbell Squat,"The classic leg exercise. Take the bar from the rack, resting it high on the back of your shoulders, and stand with a shoulder width stance. Squat down by pushing your hips back and letting your knees bend forward, keeping your back straight and your knees pointing the same way as your feet. Go down until your thighs are just past parallel to the floor, then stand back up. Keep your feet flat with your weight spread across your whole foot.",Compound,Hard,Barbell
122,Cable Glute Kickback,"Cable exercise for the glutes. Attach a cuff to a low pulley and put it around one ankle. Grab a support with both hands and step back with the other foot, leaning forward with your arms extended. Start with the cuffed leg bent at the hip and knee. Pull it back by extending your hip and knee, then return and repeat before switching legs.",Compound,Easy,Cable
123,Lever 45° Leg Press,"Machine leg exercise. Sit with your back against the padded support and put your feet slightly high on the platform. Extend your hips and knees, release the safety lever and grab the handles at your sides. Lower the platform by bending your hips and knees until your hips are fully bent, then push it back out. Keep your knees pointing the same way as your feet and your heels flat on the platform. Do not lock out your knees at the top.",Compound,Medium,Machine
125,Bodyweight Lunge,"Bodyweight exercise focusing on quad growth. Stand with your hands on your hips. Step forward with one leg, landing on your heel and then your forefoot. Lower yourself by bending the knee and hip of your front leg until the knee of your back leg almost touches the floor. Push back up to standing through your front leg, then repeat with the other leg. Keep your torso upright and your lead knee pointing the same way as your foot. A long step hits the glutes more, a short step hits the quads more.",Compound,Medium,Body weight
126,Split Bodyweight Squat,"Bodyweight exercise focusing on quad growth, done without stepping each rep. Stand with your hands on your hips and your feet far apart, one forward and one behind. Squat down by bending the knee and hip of your front leg, letting your back heel rise and your back knee bend until it almost touches the floor. Return to standing through your front leg, then switch legs once done. Easier than the lunge since your feet stay put. The further apart your feet are, the more the glutes take over.",Compound,Easy,Body weight
127,Bodyweight Squat,"Bodyweight exercise focusing on quad growth. Stand with your arms extended forward. Squat down by pushing your hips back and letting your knees bend forward slightly, keeping your back straight and your knees pointing the same way as your feet. Go down until your thighs are just past parallel to the floor, then stand back up. Keep your chest high and your feet flat with your weight spread across your whole foot. Hold onto a rail to make it easier, or only squat part way and build the range up as you get stronger.",Compound,Easy,Body weight
128,Step-up,"Bodyweight leg exercise. Stand facing a step or bench. Put one foot on it, then stand up on it by extending that hip and knee, bringing your other foot up too. Step back down with the second leg, then return the first foot to the floor. Alternate which leg leads each time. Keep your torso upright and your lead knee pointing the same way as your foot. Standing further from the bench hits the glutes more, closer hits the quads more.",Compound,Easy,Body weight
129,Cable Hip Abduction,"Cable exercise for the glute medius and minimus. Stand in front of a low pulley facing side on and attach a cuff to the ankle furthest away. Step out from the stack and grab a support. Stand on the near foot and let the far leg cross in front of you, then move it out to the opposite side by taking it away from the pulley. Return and repeat, then turn around and switch legs.",Isolated,Hard,Cable
130,Side Bridge Hip Abduction,"Bodyweight exercise for the glute medius and minimus. Lie on your side with your legs straight and stacked, and put your forearm under your shoulder at a right angle to your body. Keep your feet pointing forward. Keeping the side of your bottom foot on the ground, raise your hips off the floor while lifting your top leg away from the bottom one. Return and repeat, then switch sides.",Isolated,Hard,Body weight
131,Lever Seated Hip Abduction,"Machine exercise for the glute medius and minimus. Put one leg onto the far padded lever and sit down, then lift your other leg onto the near lever. Lean back against the pad and grab the handles at your sides. Move your legs apart as far as you can, then return and repeat.",Isolated,Easy,Machine
132,Barbell Good-morning,"Straight legged variation of the good-morning, hitting the hamstrings harder. Put a barbell on the back of your shoulders and grab it at your sides. Keeping your back straight, bend at the hips to lower your torso forward until it is roughly parallel to the floor. Raise back up until your hips are extended. Start very light and build up slowly. Keep your knees straight and do not go past a mild stretch in your hamstrings.",Isolated,Hard,Barbell
133,Barbell Straight Leg Deadlift,"Hamstring focused variation of the deadlift. Stand with a shoulder width or narrower stance with your feet flat under the bar. Bend your knees and bend over with your lower back straight, then grab the bar with an overhand or mixed grip. Stand up with the weight. With your knees straight, lower the bar towards the top of your feet by bending at the hips, then bend at the waist once your hips cannot go further. Lift back up by extending your waist and hips until standing upright.",Compound,Hard,Barbell
